"participantnumber"	"activityname"	"1timebodyaccelerationmeanvaluex"	"2timebodyaccelerationmeanvaluey"	"3timebodyaccelerationmeanvaluez"	"41timegravityaccelerationmeanvaluex"	"42timegravityaccelerationmeanvaluey"	"43timegravityaccelerationmeanvaluez"	"81timebodyaccelerationjerkmeanvaluex"	"82timebodyaccelerationjerkmeanvaluey"	"83timebodyaccelerationjerkmeanvaluez"	"121timebodygyroscopemeanvaluex"	"122timebodygyroscopemeanvaluey"	"123timebodygyroscopemeanvaluez"	"161timebodygyroscopejerkmeanvaluex"	"162timebodygyroscopejerkmeanvaluey"	"163timebodygyroscopejerkmeanvaluez"	"201timebodyaccelerationmagnitudemeanvalue"	"214timegravityaccelerationmagnitudemeanvalue"	"227timebodyaccelerationjerkmagnitudemeanvalue"	"240timebodygyroscopemagnitudemeanvalue"	"253timebodygyroscopejerkmagnitudemeanvalue"	"266fastfouriertransformbodyaccelerationmeanvaluex"	"267fastfouriertransformbodyaccelerationmeanvaluey"	"268fastfouriertransformbodyaccelerationmeanvaluez"	"294fastfouriertransformbodyaccelerationmeanvaluefreqx"	"295fastfouriertransformbodyaccelerationmeanvaluefreqy"	"296fastfouriertransformbodyaccelerationmeanvaluefreqz"	"345fastfouriertransformbodyaccelerationjerkmeanvaluex"	"346fastfouriertransformbodyaccelerationjerkmeanvaluey"	"347fastfouriertransformbodyaccelerationjerkmeanvaluez"	"373fastfouriertransformbodyaccelerationjerkmeanvaluefreqx"	"374fastfouriertransformbodyaccelerationjerkmeanvaluefreqy"	"375fastfouriertransformbodyaccelerationjerkmeanvaluefreqz"	"424fastfouriertransformbodygyroscopemeanvaluex"	"425fastfouriertransformbodygyroscopemeanvaluey"	"426fastfouriertransformbodygyroscopemeanvaluez"	"452fastfouriertransformbodygyroscopemeanvaluefreqx"	"453fastfouriertransformbodygyroscopemeanvaluefreqy"	"454fastfouriertransformbodygyroscopemeanvaluefreqz"	"503fastfouriertransformbodyaccelerationmagnitudemeanvalue"	"513fastfouriertransformbodyaccelerationmagnitudemeanvaluefreq"	"516fastfouriertransformbodyaccelerationjerkmagnitudemeanvalue"	"526fastfouriertransformbodyaccelerationjerkmagnitudemeanvaluefreq"	"529fastfouriertransformbodygyroscopemagnitudemeanvalue"	"539fastfouriertransformbodygyroscopemagnitudemeanvaluefreq"	"542fastfouriertransformbodygyroscopejerkmagnitudemeanvalue"	"552fastfouriertransformbodygyroscopejerkmagnitudemeanvaluefreq"	"555angletimebodyaccelerationmeanvaluegravity"	"556angletimebodyaccelerationjerkmeanvaluegravitymeanvalue"	"557angletimebodygyroscopemeanvaluegravitymeanvalue"	"558angletimebodygyroscopejerkmeanvaluegravitymeanvalue"	"559anglexgravitimeymeanvalue"	"560angleygravitimeymeanvalue"	"561anglezgravitimeymeanvalue"	"4timebodyaccelerationstandarddeviationx"	"5timebodyaccelerationstandarddeviationy"	"6timebodyaccelerationstandarddeviationz"	"44timegravityaccelerationstandarddeviationx"	"45timegravityaccelerationstandarddeviationy"	"46timegravityaccelerationstandarddeviationz"	"84timebodyaccelerationjerkstandarddeviationx"	"85timebodyaccelerationjerkstandarddeviationy"	"86timebodyaccelerationjerkstandarddeviationz"	"124timebodygyroscopestandarddeviationx"	"125timebodygyroscopestandarddeviationy"	"126timebodygyroscopestandarddeviationz"	"164timebodygyroscopejerkstandarddeviationx"	"165timebodygyroscopejerkstandarddeviationy"	"166timebodygyroscopejerkstandarddeviationz"	"202timebodyaccelerationmagnitudestandarddeviation"	"215timegravityaccelerationmagnitudestandarddeviation"	"228timebodyaccelerationjerkmagnitudestandarddeviation"	"241timebodygyroscopemagnitudestandarddeviation"	"254timebodygyroscopejerkmagnitudestandarddeviation"
"1"	"laying"	0.22159824394	-0.0405139534294	-0.11320355358	-0.24888179828	0.70554977346	0.4458177198	0.0810865342	0.0038382040088	0.010834236361	-0.016553093978	-0.064486124088	0.14868943626	-0.107270949192	-0.04151728689	-0.0740501211	-0.8419291525	-0.8419291525	-0.9543962646	-0.874759548	-0.96346103	-0.9390990524	-0.86706520518	-0.8826668762	-0.158792670508	0.097534841586	0.08943765522	-0.9570738838	-0.9224626098	-0.9480609042	0.132419092398	0.024513618956	0.02438794528	-0.850249174586	-0.9521914948	-0.909302721	-0.003546795856	-0.091529130882	0.01045812566	-0.8617676481	0.08640856294	-0.9333003608	0.26639115416	-0.8621901854	-0.1397750127	-0.9423669466	0.17648590708	0.0213659655642	0.00306040735	-0.001666984698	0.08443716468	0.4267062264	-0.52034381798	-0.35241310896	-0.9280564692	-0.83682740562	-0.826061401628	-0.8968300184	-0.90772000676	-0.85236629022	-0.958482112	-0.9241492736	-0.9548551108	-0.87354386782	-0.9510904402	-0.9082846626	-0.9186085208	-0.9679072436	-0.9577901596	-0.79514486386	-0.79514486386	-0.9282456284	-0.81901016976	-0.9358409828
"2"	"laying"	0.281373403958333	-0.0181587397583333	-0.107245610416667	-0.509754238125	0.752536639375	0.646834879583333	0.0825972511666667	0.012254788451875	-0.00180264895625	-0.01847660675	-0.111800824583333	0.144882846104167	-0.101974134208333	-0.0358590176083333	-0.0701783020833333	-0.977435485208333	-0.977435485208333	-0.987741696041667	-0.950011569583333	-0.991767074166667	-0.976725059791667	-0.979800877916667	-0.984380981875	-0.146482792591667	0.2572894655	0.402532553395833	-0.985813630833333	-0.982768250416667	-0.986197134583333	0.159808328563875	0.1212064240125	0.190558218145833	-0.9864311425	-0.983321635416667	-0.9626718875	0.10261131938125	0.04228066839375	0.0552985986479167	-0.975110196458333	0.2662982125	-0.985374114791667	0.3417585745	-0.972112972708333	0.01856447223125	-0.990248702291667	0.264801505395833	0.005791809625	-0.00635557646875	0.0652860108125	-0.0293710088554167	0.617423415625	-0.519732551458333	-0.478928233958333	-0.974059464791667	-0.98027739875	-0.984233296875	-0.959014441458333	-0.988211865208333	-0.984230418125	-0.98587216875	-0.98317254125	-0.988442014375	-0.988275232916667	-0.982291608958333	-0.960306560416667	-0.993235849166667	-0.989567537916667	-0.98803582125	-0.972873912916667	-0.972873912916667	-0.98551807625	-0.961164053958333	-0.989718095208333
"3"	"laying"	0.275516852741935	-0.0189556785048387	-0.101300477506452	-0.241758478064516	0.837032099677419	0.48870318516129	0.0769811125806452	0.0138041011306452	-0.00435625874355645	-0.0208170540330645	-0.0718507159435484	0.137999561112903	-0.10004449883871	-0.0389771765322581	-0.06873387	-0.972791346129032	-0.972791346129032	-0.979484593387097	-0.951564751451613	-0.98671362516129	-0.980665609032258	-0.961169982903226	-0.968332141612903	-0.0739526439887097	0.238470751435484	0.216971671672581	-0.980513202258064	-0.968752113709677	-0.979122344354839	0.17597855438871	-0.0131774961758065	0.0448196905903226	-0.970167262903226	-0.978099682258065	-0.962341960806452	-0.0822166454290323	-0.0266820108903226	0.147686455548065	-0.96552427516129	0.236990127870968	-0.975949597903226	0.238611133937097	-0.96458672483871	-0.0229296114693548	-0.984278251290323	0.110697704185484	0.0178959376270161	0.0166479534356452	0.0455874765919355	0.0317261682790323	0.423505857096774	-0.630062847096774	-0.346243070483871	-0.982776639193548	-0.962057544516129	-0.96369103483871	-0.982512193064516	-0.981202749677419	-0.964807543870968	-0.98087931483871	-0.968710724677419	-0.982093162903226	-0.974545752096774	-0.977272653709677	-0.963505609032258	-0.980328645	-0.986762741935484	-0.983338279516129	-0.964218176451613	-0.964218176451613	-0.976121297903226	-0.954275110967742	-0.983139255645161
"4"	"laying"	0.263559214981481	-0.0150031841055556	-0.110688150314815	-0.420664662222222	0.915165104259259	0.341531310555556	0.0934494217777778	0.00693313213968519	-0.00641054328740741	-0.00923156347222222	-0.0930128180759259	0.169720404092593	-0.105019877685185	-0.0381230432222222	-0.0712156288333333	-0.954557603148148	-0.954557603148148	-0.970095771666667	-0.930236462592593	-0.985068502037037	-0.958802077592593	-0.938883374444444	-0.967504278888889	-0.274194618766667	0.366231448994444	0.201329591976111	-0.978542457407407	-0.943969987222222	-0.975383329444444	0.182436483157407	0.0987428836296296	0.0770211165	-0.967203736481482	-0.972187839074074	-0.961479262592593	-0.0660921823944444	-0.526889995562963	0.152886311603704	-0.939389701296296	0.241697899814815	-0.96228712537037	0.274027349574074	-0.961556660185185	-0.259851969798148	-0.983609073333333	0.202949381537037	-0.00235775253703703	-0.0155037568068519	0.0071296052962963	0.036656730987037	0.553489757592593	-0.763217167407407	-0.229790432925926	-0.954193738888889	-0.941714042407407	-0.962667314814815	-0.921199965925926	-0.969816635740741	-0.976176608888889	-0.978302781111111	-0.942209488333333	-0.978511984259259	-0.973102422222222	-0.961109291851852	-0.962073755	-0.975103204259259	-0.986855629814815	-0.983965359814815	-0.931292216611111	-0.931292216611111	-0.960786430740741	-0.947031781666667	-0.982698213703704
"5"	"laying"	0.278334325576923	-0.0183042123269231	-0.107937603673077	-0.483470597692308	0.954890346153846	0.263644691923077	0.0848164824230769	0.00747460829615385	-0.00304067159653846	-0.0218935013501923	-0.0798709596153846	0.159894366942308	-0.102114125	-0.0404446925288462	-0.07083096875	-0.966777882884615	-0.966777882884615	-0.980141253846154	-0.946938300576923	-0.9864194225	-0.968741678461538	-0.965419520961538	-0.977007724615385	-0.135632454076923	0.466528231788462	0.132310871284615	-0.982689657115385	-0.965328566153846	-0.983250309423077	0.239915157321154	0.195677336307692	0.0916938788480769	-0.975797491730769	-0.978249645769231	-0.963202948461538	-0.0227235857115385	0.06812484775	0.0413600281009615	-0.962234984038462	0.292032094967308	-0.977356379807692	0.197005001461538	-0.968257068846154	0.102441765923077	-0.984618025769231	0.0247367106615385	0.0212091926730769	0.0553647963480769	-0.00581288916980769	-0.0344420261538462	0.598732659615385	-0.825299860384615	-0.168146326730769	-0.965934509615385	-0.969295613269231	-0.968562516346154	-0.945695336153846	-0.985964053846154	-0.977076645	-0.983307862115385	-0.964560430961538	-0.985419368461538	-0.979498706538461	-0.977427370576923	-0.960583776923077	-0.983422257692308	-0.983759479230769	-0.989679592307692	-0.958612786346154	-0.958612786346154	-0.977477145384615	-0.958287921923077	-0.98377138
"6"	"laying"	0.248656520140351	-0.0102529170561404	-0.133119570368421	-0.47670987877193	0.956593814210526	0.175867709021053	0.0963481955263158	-0.00114529240245614	0.00328817288070175	-0.0079605026754386	-0.107218315054386	0.179102058245614	-0.111267284631579	-0.0424104289992982	-0.0717774743859649	-0.918878850824561	-0.918878850824561	-0.954750504912281	-0.908980174736842	-0.955645738245614	-0.939114254210526	-0.923706791403509	-0.938044912280702	-0.219729934157895	0.348418746140351	0.161457927833333	-0.967072436842105	-0.936043420175439	-0.954425844736842	0.0114731894070175	-0.0222029460298246	0.0784684032122807	-0.935439769649123	-0.941771544385965	-0.932636612807018	0.102549066280877	0.0236567802333333	0.0445225537614035	-0.91235165222807	0.1446050868	-0.948655471052632	0.182525077889474	-0.930153639473684	0.119317522942105	-0.953695957368421	0.16376531874386	0.0049894390845614	0.032217035422807	0.0859389874070175	-0.0350566811964912	0.593394403508772	-0.874567701929825	-0.106624418668421	-0.934049422052632	-0.924644826385965	-0.925216100350877	-0.887746310350877	-0.959161956491228	-0.928130738421053	-0.966341054736842	-0.933674494385965	-0.959646055263158	-0.955378225087719	-0.943634949473684	-0.939141878596491	-0.939611608245614	-0.958628819649123	-0.959579071578947	-0.897326245964912	-0.897326245964912	-0.950341934385965	-0.920914497017544	-0.953157001578947
"7"	"laying"	0.250176694038462	-0.0204411516884615	-0.101361036576923	-0.502814250576923	0.393444278076923	0.907537823461538	0.0968904018076923	0.0250624183634615	-0.0131653918205769	-0.00282641913096154	-0.133605695057692	0.155920029769231	-0.105944243484615	-0.0358897425826923	-0.0671901794615385	-0.936392023846154	-0.936392023846154	-0.980127239615385	-0.915793634807692	-0.983008829038462	-0.953424245576923	-0.942193953846154	-0.958611644615385	-0.635913046346154	-0.0438292665807692	0.237111987323077	-0.980393046923077	-0.972531648846154	-0.969524977692308	0.0207159202961538	-0.0451342616019231	0.0945605852	-0.953684547692308	-0.957570207692308	-0.956905310961538	-0.139745225083077	-0.453725644769231	0.0144682871075	-0.927976880634615	-0.129091025169231	-0.968066259230769	0.217605286703846	-0.941130719230769	-0.265784491092308	-0.974117912115385	0.104422952923077	0.0364477050365385	0.0199228239403846	0.0630163120384615	0.0486243772639231	0.612487997884615	-0.207518642153846	-0.808553756346154	-0.93651361	-0.926262668653846	-0.952978365961539	-0.914221270096154	-0.955543549230769	-0.961908984423077	-0.980977756153846	-0.973093160192308	-0.972983064230769	-0.9601268225	-0.945071935384615	-0.955294890576923	-0.9738372325	-0.976483727307692	-0.988871878269231	-0.907039513153846	-0.907039513153846	-0.967310932307692	-0.918662459038462	-0.971205137884615
"8"	"laying"	0.261254282907407	-0.0212281733881481	-0.102245365611111	-0.405930036111111	0.589922434814815	0.719831539259259	0.0878326902592593	0.0233299159137037	-0.0169218791344444	0.00535361206851852	-0.0891374138592593	0.13818830737037	-0.106445008314815	-0.0389735198722222	-0.0694123150925926	-0.935308633888889	-0.935308633888889	-0.97314748962963	-0.924253348518518	-0.978438191296296	-0.953538563888889	-0.951816663703704	-0.944269514074074	-0.307248374366667	0.00539754357407408	0.192435787087778	-0.973110596111111	-0.975877437407407	-0.962111136666667	0.164984298959259	0.00667286421111111	0.120248739635185	-0.957903886111111	-0.957411160185185	-0.967461239074074	-0.105590903972222	-0.199880205519074	0.213568382200185	-0.932279645518518	0.0484988463518519	-0.961792852407407	0.350822601333333	-0.944528950555556	-0.0620563752462963	-0.968403945925926	0.219371246142593	-0.0244904310703704	-0.0219448739555556	0.0106333070925926	0.0137316829166667	0.542597408518519	-0.400681373333333	-0.601885211481481	-0.94304121537037	-0.93489116	-0.932491454407407	-0.918873192333333	-0.957990036481482	-0.94183626337037	-0.973253042222222	-0.976520952037037	-0.96608757462963	-0.965204017592593	-0.952039385740741	-0.96758975462963	-0.969924077407407	-0.974186451851852	-0.987601203703704	-0.91325033	-0.91325033	-0.962954517222222	-0.932470764444444	-0.969029111666667
"9"	"laying"	0.2591955368	-0.020526821662	-0.10754972144	-0.5802528348	-0.1191541962	0.9578730416	0.08807344764	0.011561732718	-0.0070536778584	-0.013632036148	-0.15890291983	0.101275010682	-0.10384667982	-0.027552256948	-0.0569490475	-0.9308684376	-0.9308684376	-0.9633745492	-0.9071250998	-0.964524819	-0.946865494	-0.9343665984	-0.9459190006	-0.4459627774628	-0.215336752654	0.17810728092	-0.964304065	-0.9640828062	-0.955909215	-0.08503093738	-0.227093669698	-0.094374360132	-0.930297921	-0.9345796594	-0.9598150092	-0.23069917904112	-0.321206958058	-0.055125413678	-0.9266042952	-0.085609052452	-0.9543205856	0.1670029826292	-0.9186053356	-0.20634356866	-0.9558062546	-0.016201378678	0.000991077232	-0.021817851338	0.052062224042	0.018204470058	0.6688739754	0.1707890725	-0.873649367	-0.94233309	-0.9162927764	-0.9407072854	-0.9218210626	-0.9699944882	-0.9712046902	-0.9647404702	-0.9639966798	-0.958562455	-0.9422465098	-0.9266185314	-0.9615953704	-0.945329035	-0.9621702422	-0.9770761602	-0.91512680016	-0.91512680016	-0.9550268052	-0.8985578738	-0.9528015598
"10"	"laying"	0.280230574137931	-0.024294484137931	-0.117168642362069	-0.453069737586207	-0.139297681034483	-0.031121624137931	0.073815064487931	0.015698997097069	0.00716689586275862	-0.019555937162069	-0.0770325657265517	0.104720478344828	-0.100308254413793	-0.0388797920413793	-0.0590744912758621	-0.956781819655172	-0.956781819655172	-0.976234435172414	-0.937590998793103	-0.970830848965517	-0.96918420862069	-0.954341849137931	-0.964300845172414	-0.14052022862069	0.200554088396552	0.317328874567241	-0.979014668793104	-0.968039173793103	-0.972592212931034	0.0485572099491379	0.0425942300482759	0.146112721943103	-0.953793912068965	-0.954670034482759	-0.969755777241379	0.0707575751344828	0.0713125646482759	0.157620505460345	-0.950848109137931	0.260388946262069	-0.968561121551724	0.212826187810345	-0.937692642586207	0.216535434472414	-0.960976821551724	0.202624700274138	-0.0238729803927759	-0.0121815291103448	0.0199111335706897	0.0583224275034483	0.577222397758621	0.213834852672414	0.105926376896552	-0.968283685	-0.946454302068966	-0.95947148637931	-0.954531941896552	-0.966701156034483	-0.963045642431035	-0.978007466724138	-0.966930793448276	-0.976256662586207	-0.961713199827586	-0.953660207586207	-0.971940597413793	-0.965900578103448	-0.966621040344828	-0.983949302758621	-0.940301654482759	-0.940301654482759	-0.967556980689655	-0.927471165517241	-0.959632931551724
